GEO,GEOID2,est_pop
1500000US060014411001,60014411001,2393
1500000US060014411002,60014411002,1828
1500000US060014412001,60014412001,2720
1500000US060014412002,60014412002,1374
1500000US060014412003,60014412003,2883
1500000US060014413011,60014413011,877
1500000US060014413012,60014413012,2307
1500000US060014413021,60014413021,2108
1500000US060014413022,60014413022,1187
1500000US060014413023,60014413023,1068
1500000US060014413024,60014413024,1518
1500000US060014414011,60014414011,1621
1500000US060014414012,60014414012,2369
1500000US060014414013,60014414013,952
1500000US060014414014,60014414014,3150
1500000US060014414021,60014414021,1913
1500000US060014414022,60014414022,2536
1500000US060014414023,60014414023,989
1500000US060014415011,60014415011,3484
1500000US060014415012,60014415012,2995
1500000US060014415031,60014415031,4746
1500000US060014415032,60014415032,2013
1500000US060014415211,60014415211,2218
1500000US060014415212,60014415212,1695
1500000US060014415213,60014415213,1747
1500000US060014415214,60014415214,622
1500000US060014415221,60014415221,1395
1500000US060014415222,60014415222,2057
1500000US060014415223,60014415223,1695
1500000US060014415231,60014415231,1609
1500000US060014415232,60014415232,1381
1500000US060014415233,60014415233,1346
1500000US060014415241,60014415241,2655
1500000US060014415242,60014415242,1777
1500000US060014416011,60014416011,592
1500000US060014416012,60014416012,2629
1500000US060014416013,60014416013,1842
1500000US060014416021,60014416021,2842
1500000US060014416022,60014416022,1080
1500000US060014416023,60014416023,2952
1500000US060014416024,60014416024,1191
