GEO,GEOID2,MMHI,error
1500000US060014233002,60014233002,67143,29260
1500000US060014233003,60014233003,98958,42640
1500000US060014234001,60014234001,88068,39522
1500000US060014234002,60014234002,78295,54791
1500000US060014234003,60014234003,82529,25610
1500000US060014234004,60014234004,83021,39199
1500000US060014235001,60014235001,30000,8832
1500000US060014235002,60014235002,54688,13788
1500000US060014235003,60014235003,61974,18197
1500000US060014236011,60014236011,85110,21819
1500000US060014236012,60014236012,116645,26534
1500000US060014236021,60014236021,33125,11689
1500000US060014236022,60014236022,15970,4916
1500000US060014236023,60014236023,36643,23027
1500000US060014237001,60014237001,-,**
1500000US060014237002,60014237002,116528,45368
1500000US060014237003,60014237003,93750,36016
1500000US060014238001,60014238001,188864,13916
1500000US060014238002,60014238002,233750,67546
1500000US060014238003,60014238003,93571,38374
1500000US060014239011,60014239011,76932,22172
1500000US060014239012,60014239012,84792,16430
1500000US060014239021,60014239021,119583,32116
1500000US060014239022,60014239022,76250,29976
1500000US060014240011,60014240011,80658,30652
1500000US060014240012,60014240012,107350,19381
1500000US060014240013,60014240013,54583,32195
1500000US060014240014,60014240014,34844,25260
1500000US060014240021,60014240021,60323,10635
1500000US060014240022,60014240022,75518,6010
1500000US060014251011,60014251011,46250,31912
1500000US060014251012,60014251012,74583,15324
1500000US060014251021,60014251021,101036,15871
1500000US060014251022,60014251022,117857,21797
1500000US060014251023,60014251023,-,**
1500000US060014251031,60014251031,116612,13207
1500000US060014251032,60014251032,127500,36307
1500000US060014251033,60014251033,73507,7715
1500000US060014251041,60014251041,70333,24177
1500000US060014251042,60014251042,65294,26168
1500000US060014261001,60014261001,210893,107809
1500000US060014261002,60014261002,204773,87719
1500000US060014261003,60014261003,"250,000+",***
1500000US060014261004,60014261004,206375,68652
1500000US060014261005,60014261005,231250,110017
1500000US060014261006,60014261006,207422,65338
1500000US060014262001,60014262001,171641,23879
1500000US060014262002,60014262002,214750,29271
1500000US060014262003,60014262003,145708,35101
1500000US060014271001,60014271001,100486,43677
1500000US060014271002,60014271002,123125,38809
1500000US060014271003,60014271003,131250,17097
1500000US060014272001,60014272001,72969,25906
1500000US060014272002,60014272002,64653,19154
1500000US060014272003,60014272003,61157,27840
1500000US060014272004,60014272004,84539,32306
1500000US060014272005,60014272005,-,**
1500000US060014273001,60014273001,87313,17749
1500000US060014273002,60014273002,128125,39307
1500000US060014273003,60014273003,89943,36223
1500000US060014273004,60014273004,53221,23953
1500000US060014273005,60014273005,50714,7322
1500000US060014276001,60014276001,63523,17716
1500000US060014276002,60014276002,44293,11812
1500000US060014276003,60014276003,41442,25053
1500000US060014277001,60014277001,68750,16444
1500000US060014277002,60014277002,96964,11276
1500000US060014277003,60014277003,74912,47282
1500000US060014277004,60014277004,92232,57180
1500000US060014278001,60014278001,115556,41340
1500000US060014278002,60014278002,107578,61487
1500000US060014278003,60014278003,86953,28813
1500000US060014278004,60014278004,72070,49201
1500000US060014278005,60014278005,83138,29771
1500000US060014279001,60014279001,96029,35905
1500000US060014279002,60014279002,104267,23096
1500000US060014279003,60014279003,87847,9505
1500000US060014279004,60014279004,115440,32326
1500000US060014279005,60014279005,84028,18034
1500000US060014280001,60014280001,54718,24015
1500000US060014280002,60014280002,71368,6807
1500000US060014281001,60014281001,115718,27145
1500000US060014281002,60014281002,137969,45809
1500000US060014281003,60014281003,79500,62937
1500000US060014281004,60014281004,58438,17581
1500000US060014282001,60014282001,101354,78809
1500000US060014282002,60014282002,106597,45573
1500000US060014282003,60014282003,35407,9515
1500000US060014282004,60014282004,90275,53027
1500000US060014282005,60014282005,145000,38074
1500000US060014283011,60014283011,101813,35522
1500000US060014283012,60014283012,99271,42239
